"Organization Name","Address","City","State","Postcode","Main Phone #","Discipline","Council District","Community Board","Borough","Latitude","Longitude","Census Tract","BIN","BBL","NTA"
"Chhaya Community Development Corporation","37-43 77th Street","Jackson Heights","NY","11372","(718) 478-3848","Multi-Discipl, Perf & Non-Perf","Queens Council District #25","Queens Community Board #3","Queens","40.747993","-73.888827","287","4029909","4012880059","QN0301"
"Child and Youth Development Center","888 Mcdonald Avenue","Brooklyn","NY","11218","(718) 809-4729","Multi-Discipline, Performing","Brooklyn Council District #44","Brooklyn Community Board #12","Brooklyn","40.632253","-73.977457","478","3127463","3054070019","BK1202"
"Children's Aid Society","105 East 22nd Street","New York","NY","10010","(212) 949-4696","Music","Manhattan Council District #2","Manhattan Community Board #6","Manhattan","40.739265","-73.986215","68","1018010","1008780001","MN0602"
"Children's Art Carnival","62 Hamilton Terrace","New York","NY","10031","(917) 756-9143","Visual Arts","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.823075","-73.946309","227","1060961","1020500064","MN0903"
"Children's Arts & Science Workshops, Inc.","4320 Broadway","New York","NY","10033","(212) 923-7766","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.852155","-73.934715","271","1081882","1021670001","MN1202"
"Children's Museum of Manhattan","212 West 83rd Street","New York","NY","10024","(212) 721-1223","Museum","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.785946","-73.976961","171","1032767","1012300038","MN0702"
"Children's Museum of the Arts","101 Avenue of the Americas, 9th Floor","New York","NY","10013","(212) 274-0986","Museum","Manhattan Council District #3","Manhattan Community Board #3","Manhattan","40.723247","-74.004957","37","1007119","1004770011","MN0201"
"Children's Orchestra Society","65-03 180th Street","Fresh Meadows","NY","11365","(718) 888-0635","Music","Queens Council District #24","Queens Community Board #8","Manhattan",,,,,,
"Children's Theatre Company of New York","526 West 26th Street","New York","NY","10001","(212) 633-6629","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.750094","-74.003999","9901","1012386","1006970047","MN0401"
"Children of Promise, NYC","54 MacDonough Street","Brooklyn","NY","11216","(718) 483-9290","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #36","Brooklyn Community Board #3","Brooklyn","40.680929","-73.944383","269","3053461","3018540025","BK0301"
"China Institute in America","100 Washington St","New York","NY","10006","(212) 744-8181","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.708494","-74.014291","13","1088750","1000557501","MN0101"
"Chinatown Partnership Local Development Corp","60 St. James Street","New York","NY","10038","(212) 346-9288","Multi-Discipline, Performing","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",,,,,,
"Chinese American Arts Council, Inc.","456 Broadway, 3rd Floor","New York","NY","10013","(212) 431-9740","Other","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.720648","-74.000812","45","1003033","1002320011","MN0201"
"Chinese American Culture & Art Association","880 Third Avenue, 13th Floor","New York","NY","10022","(212) 750-5295","Multi-Discipline, Performing","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.75791","-73.969254","100","1036473","1013080033","MN0604"
"Chinese Community Center of Flushing, Inc.","43-17 Union Street","Flushing","NY","11355","(347) 542-3700","Humanities","Queens Council District #20","Queens Community Board #7","Queens","40.754358","-73.821356","859","4534926","4051937502","QN0707"
"Chinese Cultural Foundation, Inc.","77 West 55th Street, Suite 3F","New York","NY","10019","(212) 752-4881","Visual Arts","Manhattan Council District #4","Manhattan Community Board #4","Manhattan","40.762616","-73.977146","104","1034856","1012717501","MN0502"
"Chinese Methodist Center Corporation","69 Madison st.","New York","NY","10002","(212) 349-2703","Photography","Manhattan Council District #2","Manhattan Community Board #1","Manhattan","40.712115","-73.996562","8","1079619","1002770056","MN0301"
"Chinese Musical Arts, Inc.","200 Bowery Street apt# 2E","New York","NY","10012","(718) 461-2666","Music","Manhattan Council District #3","Brooklyn Community Board #2","Manhattan","40.72129","-73.993672","43","1084745","1004927503","MN0201"
"Chinese Music Ensemble of New York, Inc.","P.O. Box 1062","New York","NY","10002","(212) 925-6110","Music","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",,,,,,
"Chinese Theatre Works, Inc.","3718 Northern Blvd","Long Island City","NY","11101","(718) 392-3493","Theater","Queens Council District #21","Queens Community Board #1","Queens","40.752096","-73.925887","17102","4003103","4002140040","QN0161"
"Chinese Writers Association of New York","189-23 46 Ave,","Flushing","NY","11358","(718) 888-2678","Multi-Discipline, Non-Perform","Queens Council District #20","Queens Community Board #11","Queens","40.753495","-73.791037","1459","4124857","4055310065","QN1101"
"Choral Chameleon, Inc.","157 Columbus Avenue, Fourth Floor","New York","NY","10023","(973) 220-8593","Music","Manhattan Council District #3","Manhattan Community Board #7","Manhattan","40.774318","-73.981038","15301","1028260","1011207501","MN0701"
"Chris S. Owens Foundation, Inc.","1275 East 51st Street","Brooklyn","NY","11234","(929) 855-2525","Film/Video/Audio","Brooklyn Council District #36","Brooklyn Community Board #3","Brooklyn","40.629688","-73.927003","728","3215627","3077770026","BK1801"
"Christ Church New Brighton","76 Franklin Avenue","Staten Island","NY","10301","(718) 727-6100",,,,"Staten Island","40.643587","-74.092301","81","5106503","5000660158","SI0101"
"Church Street School for Music and Art, Inc.","41 White Street","New York","NY","10013","(212) 571-7290","Multi-Discipline, Non-Perform","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.718664","-74.004452","33","1001931","1001750019","MN0102"
"Cinema Conservancy, Inc.","225 W. 13th Street","New York, NY","NY","10011","(212) 989-1038","Film/Video/Audio","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.738308","-74.001205","77","1011120","1006180052","MN0203"
"Cinema Tropical, Inc.","611 Broadway Suite 836","New York","NY","10012","(212) 254-5474","Film/Video/Audio","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.7256","-73.996641","5501","1008240","1005230048","MN0202"
"Circle in the Square Theatre School, Inc.","1633 Broadway","New York","NY","10019","(212) 307-0388","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.761574","-73.983962","131","1024812","1010220043","MN0502"
"Circuit Productions, Inc.","635 Carroll Street","Brooklyn","NY","11215","(718) 638-4878","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.674746","-73.980277","133","3020342","3009590074","BK0602"
"Circus Amok, Inc.","53 South 11th Street, #5A","Brooklyn","NY","11249","(718) 486-7432","Theater","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn","40.707584","-73.966824","547","3392478","3021560124","BK0102"
"Circusense, Inc.","423 Atlantic Avenue","Brooklyn","NY","11217",,,,"Brooklyn Community Board #2","Brooklyn","40.686563","-73.983857","41","3000724","3001780054","BK0202"
"Citizens Against Recidivism, Inc.","137-58 Thurston St","Springfield Gardens","NY","11413","(347) 626-7233","Visual Arts","Queens Council District #27","Queens Community Board #12","Queens","40.673202","-73.76004","330","4534276","4130230042","QN1204"
"Citizen Schools, Inc.","79 Madison Avenue","New York","NY","10016","(646) 442-3873","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.744096","-73.985619","74","1016900","1008580022","MN0501"
"Citizens Committee for New York City, Inc.","77 Water St.","New York","NY","10005","(212) 822-9590","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.704275","-74.008681","7","1000863","1000330001","MN0101"
"CITYarts, Inc.","77 Bleecker Street","New York","NY","10012","(212) 966-0377","Visual Arts","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.726634","-73.996042","5501","1084761","1005320020","MN0202"
"City Center for Music & Drama, Inc.","20 Lincoln Center","New York","NY","10023","(212) 870-4285","Multi-Discipline, Performing","Manhattan Council District #6","Manhattan Community Board #6","Manhattan","40.771414","-73.983201","149","1028831","1011340005","MN0701"
"City College Center for the Arts","129 Convent Ave","New York","NY","10031","(212) 650-5362","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #9","Manhattan Community Board #9","Manhattan","40.817802","-73.951834","21703","1084075","1019570001","MN0902"
"City Grand Opera Society, Inc.","250 West 54th Street, Suite 807","New York","NY","10019","(212) 245-8837","Music","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.764308","-73.983145","131","1024842","1010250054","MN0502"
"City Growers, Inc.","63 Flushing Ave","Brooklyn","NY","11205","(917) 742-9657","Botanical","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.69802","-73.974986","543","3335129","3020230001","BK0261"
"City Island Historical Society","190 Fordham Street","BRONX","NY","10464","(718) 885-0008","Museum","Bronx Council District #13","Bronx Community Board #10","Bronx","40.847655","-73.784647","51601","2082595","2056437501","BX1003"
"City Island Theater Group","116 City Island Avenue","New York","NY","10464","(718) 885-3190","Theater","Bronx Council District #13","Bronx Community Board #10","Bronx","40.841097","-73.784187","51601","2082432","2056400010","BX1003"
"City Lore, Inc.","56 E. First Street","New York","NY","10003","(212) 529-1955","Folk Arts","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.723631","-73.989281","3602","1087561","1004430049","MN0303"
"City Parks Foundation","830 5th Ave","New York","NY","10065","(212) 360-1399","Multi-Discipline, Performing","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.767711","-73.970516","143","1083811","1011110001","MN6491"
"Citywide Youth Opera, Inc.","321 East 43rd Street #906","New York","NY","10017","(646) 296-0344","Music","Manhattan Council District #4","Manhattan Community Board #6","Manhattan","40.750098","-73.970755","88","1038665","1013360010","MN0603"
"Civil Aid Services, Inc.","29 Bay 25th Street","Brooklyn","NY","11214","(212) 966-3253","Multi-Discipline, Performing","Brooklyn Council District #47","Brooklyn Community Board #11","Manhattan",,,,,,
"Civilians, Inc.","138 S. Oxford Street","Brooklyn","NY","11217","(212) 730-2019","Theater","Manhattan Council District #5","Brooklyn Community Board #2","Brooklyn","40.685073","-73.973221","179","3000000","3020040048","BK0203"
"Clarion Music Society, Inc.","PO BOX 259","New York","NY","10021","(212) 580-5700","Music","Manhattan Council District #4","Manhattan Community Board #8","Manhattan",,,,,,
"Classical Domain","218 East 18th Street","New York","NY","10003","(212) 366-6900","Music","Brooklyn Council District #33","Brooklyn Community Board #6","Brooklyn","40.645866","-73.962408","512","3117582","3051210018","BK1401"
"Classical Theatre of Harlem, Inc.","1850 Amsterdam Avenue","New York","NY","10031","(347) 688-6304","Theater","Manhattan Council District #9","Manhattan Community Board #9","Manhattan","40.829365","-73.944602","237","1062192","1020830033","MN0903"
"Classic Chamber Players","1133 Broadway","New York","NY","10010","(914) 762-8878","Music","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.743523","-73.989073","58","1015625","1008270049","MN0501"
"Clemente Soto Velez Cultural and Educational Center, Inc.","107 Suffolk Street","New York","NY","10002","(212) 566-5600","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.718943","-73.986122","1402","1004301","1003530054","MN0302"
"Climate Museum","630 Ninth Ave","New York","NY","10036","(212) 324-3512","Other","Manhattan Council District #4","Manhattan Community Board #4","Manhattan","40.760038","-73.991449","12101","1024982","1010350001","MN0402"
"Cliplight Theatre Company, Inc.","484 W 43 ST","New York","NY","10036","(917) 385-9090","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.760205","-73.994777","12102","1083746","1010520001","MN0402"
"Clive Barnes Foundation Incorporated","241 West 23rd Street, 4A","New York","NY","10011","(212) 463-8955","Multi-Discipline, Performing","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.744626","-73.996878","91","1014146","1007730022","MN0401"
"Clockwork Theatre, Inc.","410 West 42nd Street","New York","NY","10036","(631) 793-1946","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.758652","-73.993185","115","1026330","1010510029","MN0402"
"Club A-Elita, Inc.","2740 Cropsey Ave, 13A","brooklyn","NY","11214","(347) 495-2669","Multi-Discipline, Performing","Brooklyn Council District #43","Brooklyn Community Board #13","Brooklyn","40.587446","-73.989184","31401","3321111","3069370048","BK1301"
"Clubbed Thumb, Inc.","440 Lafayette St","New York","NY","10003","(212) 228-0153","Theater","Manhattan Council District #2","Manhattan Community Board #6","Manhattan","40.729448","-73.991803","57","1088676","1005450026","MN0202"
"Clutch Productions, Inc.","19 Seaman Avenue","NEW YORK","NY","10034","(646) 481-2725","Theater","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.866744","-73.927274","295","1064936","1022370012","MN1203"
"CO/LAB Theater Group","520 8th Ave., 3rd Floor","New York","NY","10018","(847) 529-7355","Theater","Brooklyn Council District #34","Manhattan Community Board #5","Manhattan","40.753612","-73.992417","109","1083624","1007860001","MN0502"
"Coalition for Hispanic Family Services","315 Wyckoff Avenue","Brooklyn","NY","11237","(718) 497-6090","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #37","Brooklyn Community Board #4","Brooklyn","40.700045","-73.911981","439","3076376","3033380001","BK0402"
"Coalition to Preserve Reggae Music, Inc.","1199 Ocean Avenue","New York","NY","11230","(718) 421-6927","Music","Brooklyn Council District #45","Brooklyn Community Board #14","Brooklyn","40.633332","-73.957818","766","3121393","3052410006","BK1401"
"Cocolart","555 West 186th Street, #4C","New York","NY","10033","(646) 225-0333","Visual Arts","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.852009","-73.930587","269","1063801","1021570093","MN1202"
"CollaborationTown, A Theatre Company, Inc.","529 Fifth Street, #1R","Brooklyn","NY","11215","(646) 369-4592","Theater","Brooklyn Council District #39","Brooklyn Community Board #6","Manhattan",,,,,,
"Collaborative Urban Sculpture, Inc.","62 Washington Ave. #1","Brooklyn","NY","11205","(917) 418-3516","Visual Arts","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.69688","-73.967587","211","3054139","3018747502","BK0203"
"Collapsable Giraffe, Inc.","155 Bank St","New York","NY","10014","(917) 821-4451","Theater","Brooklyn Council District #34","Manhattan Community Board #2","Manhattan","40.736095","-74.009205","79","1012047","1006390001","MN0203"
"Collected Objects, Inc.","100 Newel Street, #2R","Brooklyn","NY","11222","(917) 715-8601","Multi-Discipline, Performing","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn","40.725764","-73.947914","571","3066295","3026510049","BK0101"
"Collective Unconscious","P.O. Box 2026","New York","NY","10013","(212) 920-4161","Multi-Discipline, Performing","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",,,,,,
"College and Community Fellowship, Inc.","475 RIVERSIDE DRIVE","New York","NY","10115","(646) 462-2207","Multi-Discipline, Performing","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.811101","-73.964168","205","1059835","1019910001","MN0901"
"College Art Association of America, Inc.","50 Broadway, 21st Fl.","New York","NY","10004","(212) 691-1051","Visual Arts","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.706449","-74.012761","9","1000813","1000220024","MN0101"
"Colombian Film Festival","575 Main St","New York","NY","10044","(347) 617-2821","Film/Video/Audio","Manhattan Council District #5","Manhattan Community Board #8","Manhattan","40.76253","-73.949423","23803","1084704","1013737505","MN0801"
"Colonial Dames of America/Mount Vernon Hotel Museum & Garden","421 E 61st St","New York","NY","10022","(212) 838-6878","Museum","Manhattan Council District #5","Manhattan Community Board #8","Manhattan","40.760473","-73.960123","10602","1045284","1014560012","MN0801"
"Colonial Farmhouse Restoration Society of Bellerose, Inc.","7350 Little Neck Pkwy","Floral Park","NY","11004","(718) 347-3276","Museum","Queens Council District #23","Queens Community Board #13","Queens","40.748171","-73.719381","1567","4572707","4084010001","QN1302"
"Colt Coeur Theater Company, Inc.","20 Jay Street","Brooklyn","NY","11201","(646) 489-7380","Theater","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.704313","-73.986587","21","3000010","3000190001","BK0202"
"Community Center of the Rockaway Peninsula, Inc.","257 Beach 17th Street","Far Rockaway","NY","11691","(718) 868-2300","Music","Queens Council District #31","Queens Community Board #14","Queens","40.596751","-73.751147","101004","4454258","4156340094","QN1401"
"Community Film Workshop Council","525 West 125th Street","New York","NY","10027","(212) 531-3786","Film/Video/Audio","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.813876","-73.956685","219","1059694","1019820014","MN0902"
"Community New Horizons of New York, Inc.","341 Wadsworth Avenue, Suite B","New York","NY","10040","(212) 543-0682","Visual Arts","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.855572","-73.930757","279","1064021","1021690001","MN1202"
"Community-Word Project, Inc.","11 Broadway, Suite 508","New York","NY","10004","(212) 962-3820","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.705354","-74.013731","13","1000044","1000130005","MN0101"
"Community Works, Inc.","55 West End Avenuee","New York","NY","10023","(212) 459-1854","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",,,,,,
"Complexions - A Concept in Dance","37 West 39th Street","New York","NY","10018","(212) 777-7771","Dance",,"Manhattan Community Board #1","Manhattan","40.752138","-73.983578","84","1016040","1008410018","MN0502"
"Complicated, Incorporated","1072 Lorimer St. #3l","Brooklyn","NY","11222","(612) 227-8013","New Media","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn","40.727372","-73.953851","561","3065314","3025960008","BK0101"
"Composers Collaborative, Inc.","210 Riverside Drive, Apt. 11G","New York","NY","10025","(212) 663-1967","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.79423","-73.976518","179","1034130","1012520034","MN0702"
"Composers Concordance, Inc.","1510 York Ave","new york","NY","10075","(212) 663-8826","Music","Manhattan Council District #5","Manhattan Community Board #8","Manhattan","40.771967","-73.950004","13602","1050773","1015760049","MN0803"
"Composers Now, Inc.","33 W 60th Street","New York","NY","10023",,,,"Manhattan Community Board #7","Manhattan","40.769493","-73.983451","145","1084277","1011130008","MN0701"
"Concert Artists Guild, Inc.","224 W. 35th St","New York","NY","10001","(212) 333-5200","Music","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.752034","-73.991053","109","1014414","1007840060","MN0502"
"Concerts in Motion, Inc.","P.O. Box 231097","New York","NY","10023","(212) 498-9868","Music","Manhattan Council District #3","Manhattan Community Board #7","Manhattan",,,,,,
"Concerts in the Heights","251 Seaman Avenue","New York","NY","10034","(212) 543-0475","Music","Manhattan Council District #7","Manhattan Community Board #12","Manhattan","40.871766","-73.918157","307","1065036","1022430366","MN1203"
"Concourse House Housing Development Fund Company, Inc.","2751 Grand Concourse","Bronx","NY","10468","(718) 584-4400",,,"Bronx Community Board #7","Bronx","40.868185","-73.89278","40303","2017431","2033150001","BX0702"
"Concrete Temple Theatre","211 E 14th St","NEW YORK","NY","10003","(212) 598-9135","Theater","Manhattan Council District #2","Manhattan Community Board #6","Manhattan","40.733092","-73.986678","48","1019503","1008960010","MN0602"
"Coney Island, USA","1208 Surf Avenue","Brooklyn","NY","11224","(718) 372-5159","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #47","Brooklyn Community Board #13","Brooklyn","40.575535","-73.979978","352","3245137","3086940018","BK1302"
"Coney Island Generation Gap Reunion Committee, Corp","2904 Neptune Avenue","Brooklyn","NY","11224","(718) 975-0447","Film/Video/Audio","Brooklyn Council District #47","Brooklyn Community Board #13","Brooklyn","40.577733","-73.995997","328","3188862","3070100010","BK1302"
"Coney Island History Project, Inc.","c/o Deno's Wonder Wheel Park","Brooklyn","NY","11224","(718) 265-2100","Multi-Discipline, Non-Perform","Brooklyn Council District #47","Brooklyn Community Board #13","Brooklyn","40.574034","-73.979194","352","3347224","3086960145","BK1302"
"Coney Island Youth Alive Inc.","2953 West 33rd street","New York","NY","11224","(718) 372-0361","Multi-Discipline, Performing","Brooklyn Council District #47","Brooklyn Community Board #13","Brooklyn","40.573651","-73.99932","342","3321766","3070480015","BK1302"
"Conference House Association, Inc.","298 Satterlee Street","Staten Island","NY","10307","(718) 984-0415","Museum","Staten Island Council Dist #51","Staten Island Community Board #3","Staten Island","40.502357","-74.25144","24402","5126463","5078570001","SI0305"
"Congress for Jewish Culture, Inc.","306 W 18th St","New York City","NY","10011","(212) 505-8040","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2","Manhattan Community Board #5","Manhattan","40.742477","-74.001256","83","1013082","1007410039","MN0401"
"Conrad Poppenhusen Association","114-04 14th Road","College Point","NY","11356","(718) 358-0067","Multi-Discipl, Perf & Non-Perf","Queens Council District #19","Queens Community Board #7","Queens","40.78462","-73.853042","929","4098136","4040670001","QN0701"
"Conscientious Musical Revues","166 Regis Dr;","Staten Island","NY","10314","(800) 624-8474","Music","Staten Island Council Dist #49","Staten Island Community Board #1","Staten Island","40.620017","-74.160461","30301","5032568","5016550067","SI0107"
"Construction Company Theater/Dance Associates, Inc.","10 East 18th Street, #3","New York","NY","10003","(212) 924-7882","Dance","Manhattan Council District #2","Manhattan Community Board #5","Manhattan","40.738225","-73.991163","52","1080748","1008467502","MN0501"
"Contemporaneous Inc.","617 Warren Street","Brooklyn","NY","11217","(205) 914-9663","Music","Manhattan Council District #6","Brooklyn Community Board #6","Brooklyn","40.68088","-73.979557","12901","3018682","3009340069","BK0602"
"Contemporary Art for America, Inc.","330 West 15th Street, Suite 5D","New York","NY","10011","(212) 645-2895","Museum","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.740866","-74.003046","83","1013028","1007380057","MN0401"
"Contemporary Ballet Theatre, Inc","861 Manida St.","Bronx","NY","10474","(718) 623-0933","Multi-Discipline, Performing","Bronx Council District #17","Bronx Community Board #2","Bronx","40.817831","-73.889834","9301","2005985","2027400082","BX0201"
"Continuum Culture & Arts, Inc.","292 Lefferts Ave.","Brooklyn","NY","11225","(917) 828-4951",,,"Brooklyn Community Board #9","Brooklyn","40.662284","-73.951809","800","3035354","3013290030","BK0902"
"Continuum Project, Inc.","148 Hancock Street","New York","NY","11216","(718) 791-9088","Theater","Brooklyn Council District #36","Brooklyn Community Board #3","Brooklyn","40.682592","-73.949462","249","3052653","3018380001","BK0301"
"Converging Arts Media Organization","57 Stanton Street","New York","NY","10002","(212) 995-5290","Visual Arts","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.721976","-73.990259","3601","1077627","1004210060","MN0302"
"Cool Culture","80 Hanson Place","Brooklyn","NY","11217","(718) 230-4186","Multi-Discipline, Non-Perform","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.685488","-73.974421","35","3057479","3020030034","BK0203"
"Coopdanza, Inc.","202 W 107th St","New York","NY","10025","(929) 296-2862","Multi-Discipline, Performing","Queens Council District #21","Manhattan Community Board #7","Manhattan","40.801215","-73.965481","195","1056641","1018780036","MN0703"
"Cooperative Culture Collective","117 S. Oxford Street","Brooklyn","NY","11217","(718) 638-7624","Other","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.686058","-73.973397","181","3059376","3021180048","BK0203"
"Cooper-Hewitt, National Design Museum","2 East 91st Street","New York","NY","10128","(212) 849-8373","Museum","Manhattan Council District #5","Manhattan Community Board #8","Manhattan","40.784607","-73.957866","15002","1046980","1015020001","MN0802"
"Cora Incorporated","177 Dwight Street","Brooklyn","NY","11231","(732) 267-1859","Dance","Brooklyn Council District #38","Brooklyn Community Board #6","Brooklyn","40.673764","-74.011702","5301","3396331","3006000102","BK0601"
"CorbinDances, Inc.","196 West 134th Street","New York","NY","10030","(646) 734-6338","Dance","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.814518","-73.943939","226","1086206","1019180059","MN1002"
"Corona Youth Music Project, Inc.","40-32 99th Street","New York","NY","11368","(646) 330-7562","Music","Manhattan Council District #6","Queens Community Board #3","Queens","40.748858","-73.866214","40901","4437174","4016070001","QN0402"
"Council For Living Music, Inc.","322 West 48th Street, 3rd Floor","New York","NY","10036","(212) 245-4802","Music","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.761511","-73.988167","127","1025108","1010380043","MN0402"
"Council of Literary Magazines and Presses","90 Broad Street","New York","NY","10004","(212) 741-9110","Literature","Manhattan Council District #3","Manhattan Community Board #1","Manhattan","40.703954","-74.011592","9","1000025","1000100016","MN0101"
"Council of Peoples Organization","1077 Coney Island Avenue","Brooklyn","NY","11230","(718) 434-3266","Music","Brooklyn Council District #45","Brooklyn Community Board #14","Brooklyn","40.631136","-73.966459","528","3178918","3066860079","BK1402"
"Council on the Arts and Humanities for Staten Island","25 Hyatt Street, Suite 200","Staten Island","NY","10301","(718) 447-3329","Multi-Discipline, Non-Perform","Staten Island Council Dist #49","Staten Island Community Board #1","Staten Island","40.641894","-74.077223","3","5110428","5000080099","SI0101"
"Council on the Arts and Humanities for Staten Island - Regrant","25 Hyatt Street, Suite 200","Staten Island","NY","10301","(718) 447-3329","Multi-Discipline, Non-Perform",,"Staten Island Community Board #1","Staten Island","40.641894","-74.077223","3","5110428","5000080099","SI0101"
"Covenant Ballet Theatre of Brooklyn, Inc.","251 Avenue U","Brooklyn","NY","11223","(718) 891-6199","Dance","Brooklyn Council District #48","Brooklyn Community Board #11","Brooklyn","40.59682","-73.974747","400","3191385","3071020046","BK1103"
"Coyote REP Theatre Company","360 W 28th St","New York","NY","10001","(917) 584-8796","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.749482","-73.998354","97","1013462","1007517501","MN0401"
"Create in Chinatown, Inc","1 Pike St","New York","NY","10002","(212) 563-0392",,,"Manhattan Community Board #3","Manhattan","40.714288","-73.992796","6","1003612","1002830094","MN0301"
"Creative Alternatives of New York, Inc.","225 West 99th Street","New York","NY","10025","(212) 222-1969","Theater","Manhattan Council District #8","Manhattan Community Board #7","Manhattan","40.796267","-73.969586","187","1084035","1018710029","MN0703"
"Creative Ammo, Inc.","18 East 41st Street Suite 1806","New York","NY","10017","(212) 807-1337","Theater","Manhattan Council District #4","Manhattan Community Board #4","Manhattan","40.752417","-73.980448","82","1035324","1012750061","MN0502"
"Creative Arts Team","101 West 31st Street, 6th Floor","New York","NY","10001","(212) 652-2830","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.748084","-73.989588","101","1015182","1008070039","MN0501"
"Creative Arts Workshops for Kids","100 W. 33rd Street","New York","NY","10001","(646) 424-0392","Multi-Discipline, Non-Perform","Manhattan Council District #8","Manhattan Community Board #5","Manhattan","40.7493","-73.988675","101","1015190","1008080040","MN0501"
"Creative Capital Foundation","15 Maiden Lane","New York","NY","10038","(212) 598-9900","Visual Arts","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.709482","-74.009356","1502","1001097","1000650007","MN0101"
"Creative Minds NYC, Inc.","35 West 35th St Suite #701","New York","NY","10001","(212) 742-8091","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.749679","-73.985426","84","1015890","1008370020","MN0502"
"Creative Netwerk","25-18 43rd Street","Astoria","NY","11103","(646) 761-5269","Dance","Manhattan Council District #1","Queens Community Board #1","Queens","40.766447","-73.909612","143","4012189","4007010050","QN0104"
"Creative Time, Inc.","59 E 4th St","New York","NY","10003","(212) 206-6674","Multi-Discipline, Non-Perform","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.726785","-73.990807","38","1082642","1004600056","MN0303"
"Cross Performance, Inc.","140 Second Avenue","New York","NY","10003","(212) 260-7426","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2","Manhattan Community Board #3","Brooklyn","40.67108","-73.994668","11902",,,"BK0601"
"Crown Heights Jewish Community Council","375 Kingston Avenue","Brooklyn","NY","11213","(347) 432-3777","Visual Arts","Brooklyn Council District #35","Brooklyn Community Board #9","Brooklyn","40.666153","-73.942485","333","3330806","3012930001","BK0901"
